2,13066,1.0
1,14402,1.0
1,4771,1.0
1,7598,1.0
1,5252,1.0
1,4842,1.0
1,9452,1.0
1,12272,1.0
1,7700,1.0
1,8112,1.0
2,9250,1.0
1,35575,1.0
1,24656,1.0
4,59364,1.0
1,26702,1.0
2,25661,1.0
3,12174,1.0
1,28301,1.0
2,10108,1.0
3,25438,1.0
1,813,1.0
2,187,1.0
3,172,1.0
4,16,1.0
1,27175,1.0
1,25722,1.0
1,24366,1.0
2,16354,1.0
3,33401,1.0
1,687,1.0
1,203,1.0
2,124,1.0
3,141,1.0
4,16,1.0
1,375,1.0
2,25020,1.0
1,335,1.0
1,435,1.0
1,411,1.0
1,298,1.0
1,294,1.0
1,421,1.0
2,29671,1.0
1,284,1.0
1,527,1.0
1,379,1.0
1,423,1.0
2,23852,1.0
1,509,1.0
1,514,1.0
2,28323,1.0
1,331,1.0
1,331,1.0
1,361,1.0
1,332,1.0
1,361,1.0
1,335,1.0
1,315,1.0
1,346,1.0
1,228,1.0
1,411,1.0
1,406,1.0
3,360,1.0
3,335,1.0
3,341,1.0
3,321,1.0
3,330,1.0
3,346,1.0
4,14431,1.0
3,443,1.0
3,330,1.0
3,341,1.0
3,342,1.0
3,511,1.0
3,327,1.0
3,407,1.0
3,585,1.0
3,299,1.0
3,302,1.0
3,422,1.0
3,485,1.0
3,327,1.0
5,26058,1.0
3,305,1.0
3,346,1.0
4,32512,1.0
3,300,1.0
3,323,1.0
3,436,1.0
3,787,1.0
3,355,1.0
3,327,1.0
3,313,1.0
3,390,1.0
3,320,1.0
